date,tariff_story_count
2023-01-03,"{'relevant': 7741, 'total': 940008}"
2023-01-04,"{'relevant': 8491, 'total': 989967}"
2023-01-05,"{'relevant': 8681, 'total': 959934}"
2023-01-06,"{'relevant': 6559, 'total': 784241}"
2023-01-07,"{'relevant': 4407, 'total': 659136}"
2023-01-08,"{'relevant': 6660, 'total': 837421}"
2023-01-09,"{'relevant': 9310, 'total': 1035114}"
2023-01-10,"{'relevant': 9534, 'total': 1074692}"
2023-01-11,"{'relevant': 9621, 'total': 1081886}"
2023-01-12,"{'relevant': 9004, 'total': 1014843}"
2023-01-13,"{'relevant': 6268, 'total': 811555}"
2023-01-14,"{'relevant': 4693, 'total': 634339}"
2023-01-15,"{'relevant': 5907, 'total': 772530}"
2023-01-16,"{'relevant': 8099, 'total': 968989}"
2023-01-17,"{'relevant': 9226, 'total': 1032233}"
2023-01-18,"{'relevant': 9274, 'total': 1041775}"
2023-01-19,"{'relevant': 9261, 'total': 1001452}"
2023-01-20,"{'relevant': 7245, 'total': 809251}"
2023-01-21,"{'relevant': 5078, 'total': 636929}"
2023-01-22,"{'relevant': 6385, 'total': 786003}"
2023-01-23,"{'relevant': 8797, 'total': 977968}"
2023-01-24,"{'relevant': 9352, 'total': 1017309}"
2023-01-25,"{'relevant': 9488, 'total': 1018576}"
2023-01-26,"{'relevant': 9543, 'total': 982880}"
2023-01-27,"{'relevant': 7887, 'total': 805221}"
2023-01-28,"{'relevant': 5851, 'total': 664356}"
2023-01-29,"{'relevant': 7595, 'total': 835753}"
2023-01-30,"{'relevant': 10153, 'total': 1019407}"
2023-01-31,"{'relevant': 10721, 'total': 1066621}"
2023-02-01,"{'relevant': 10449, 'total': 1066870}"
2023-02-02,"{'relevant': 8530, 'total': 1000409}"
2023-02-03,"{'relevant': 6147, 'total': 815819}"
2023-02-04,"{'relevant': 4659, 'total': 650001}"
2023-02-05,"{'relevant': 6500, 'total': 803311}"
2023-02-06,"{'relevant': 8776, 'total': 999207}"
2023-02-07,"{'relevant': 9090, 'total': 1036605}"
2023-02-08,"{'relevant': 9047, 'total': 1047093}"
2023-02-09,"{'relevant': 8403, 'total': 1010379}"
2023-02-10,"{'relevant': 6317, 'total': 811901}"
2023-02-11,"{'relevant': 4528, 'total': 636733}"
2023-02-12,"{'relevant': 5851, 'total': 800042}"
2023-02-13,"{'relevant': 7267, 'total': 996168}"
2023-02-14,"{'relevant': 7595, 'total': 1028889}"
2023-02-15,"{'relevant': 8505, 'total': 1036617}"
2023-02-16,"{'relevant': 8550, 'total': 1003717}"
2023-02-17,"{'relevant': 6061, 'total': 805551}"
2023-02-18,"{'relevant': 4055, 'total': 632028}"
2023-02-19,"{'relevant': 5228, 'total': 754780}"
2023-02-20,"{'relevant': 7487, 'total': 923222}"
2023-02-21,"{'relevant': 8846, 'total': 981331}"
2023-02-22,"{'relevant': 9496, 'total': 998203}"
2023-02-23,"{'relevant': 9206, 'total': 967994}"
2023-02-24,"{'relevant': 6777, 'total': 795333}"
2023-02-25,"{'relevant': 4290, 'total': 631171}"
2023-02-26,"{'relevant': 5755, 'total': 782629}"
2023-02-27,"{'relevant': 8265, 'total': 975795}"
2023-02-28,"{'relevant': 9211, 'total': 1015263}"
2023-03-01,"{'relevant': 9776, 'total': 1025049}"
2023-03-02,"{'relevant': 8542, 'total': 988731}"
2023-03-03,"{'relevant': 5550, 'total': 797159}"
2023-03-04,"{'relevant': 3821, 'total': 625931}"
2023-03-05,"{'relevant': 6061, 'total': 783988}"
2023-03-06,"{'relevant': 8361, 'total': 968269}"
2023-03-07,"{'relevant': 8111, 'total': 970486}"
2023-03-08,"{'relevant': 8008, 'total': 980081}"
2023-03-09,"{'relevant': 8024, 'total': 975579}"
2023-03-10,"{'relevant': 6331, 'total': 787092}"
2023-03-11,"{'relevant': 4512, 'total': 626128}"
2023-03-12,"{'relevant': 5891, 'total': 796821}"
2023-03-13,"{'relevant': 7543, 'total': 985441}"
2023-03-14,"{'relevant': 8415, 'total': 1015045}"
2023-03-15,"{'relevant': 9458, 'total': 1028001}"
2023-03-16,"{'relevant': 9346, 'total': 993187}"
2023-03-17,"{'relevant': 7017, 'total': 789908}"
2023-03-18,"{'relevant': 4806, 'total': 613985}"
2023-03-19,"{'relevant': 6556, 'total': 775337}"
2023-03-20,"{'relevant': 8742, 'total': 960037}"
2023-03-21,"{'relevant': 8786, 'total': 990096}"
2023-03-22,"{'relevant': 8521, 'total': 997989}"
2023-03-23,"{'relevant': 8515, 'total': 956962}"
2023-03-24,"{'relevant': 6399, 'total': 772176}"
2023-03-25,"{'relevant': 4249, 'total': 608864}"
2023-03-26,"{'relevant': 6179, 'total': 774810}"
2023-03-27,"{'relevant': 8439, 'total': 966491}"
2023-03-28,"{'relevant': 8822, 'total': 988357}"
2023-03-29,"{'relevant': 8436, 'total': 918205}"
2023-03-30,"{'relevant': 9186, 'total': 870512}"
2023-03-31,"{'relevant': 7683, 'total': 765378}"
2023-04-01,"{'relevant': 4890, 'total': 624698}"
2023-04-02,"{'relevant': 6580, 'total': 785932}"
2023-04-03,"{'relevant': 8132, 'total': 963945}"
2023-04-04,"{'relevant': 8239, 'total': 975623}"
2023-04-05,"{'relevant': 8559, 'total': 947540}"
2023-04-06,"{'relevant': 7419, 'total': 848359}"
2023-04-07,"{'relevant': 5229, 'total': 679913}"
2023-04-08,"{'relevant': 3963, 'total': 564424}"
2023-04-09,"{'relevant': 4938, 'total': 679264}"
2023-04-10,"{'relevant': 7322, 'total': 883284}"
2023-04-11,"{'relevant': 9192, 'total': 966438}"
2023-04-12,"{'relevant': 9790, 'total': 979022}"
2023-04-13,"{'relevant': 8604, 'total': 947008}"
2023-04-14,"{'relevant': 5950, 'total': 760909}"
2023-04-15,"{'relevant': 4496, 'total': 598367}"
2023-04-16,"{'relevant': 6255, 'total': 743921}"
2023-04-17,"{'relevant': 8795, 'total': 937397}"
2023-04-18,"{'relevant': 9096, 'total': 982678}"
2023-04-19,"{'relevant': 8572, 'total': 1000173}"
2023-04-20,"{'relevant': 8453, 'total': 947221}"
2023-04-21,"{'relevant': 6681, 'total': 733252}"
2023-04-22,"{'relevant': 4723, 'total': 576407}"
2023-04-23,"{'relevant': 6042, 'total': 738451}"
2023-04-24,"{'relevant': 7806, 'total': 931209}"
2023-04-25,"{'relevant': 9289, 'total': 977700}"
2023-04-26,"{'relevant': 9947, 'total': 1002921}"
2023-04-27,"{'relevant': 8742, 'total': 981189}"
2023-04-28,"{'relevant': 6572, 'total': 789985}"
2023-04-29,"{'relevant': 4691, 'total': 604151}"
2023-04-30,"{'relevant': 5806, 'total': 674362}"
2023-05-01,"{'relevant': 8307, 'total': 855263}"
2023-05-02,"{'relevant': 10100, 'total': 969348}"
2023-05-03,"{'relevant': 11005, 'total': 992848}"
2023-05-04,"{'relevant': 10655, 'total': 959981}"
2023-05-05,"{'relevant': 8598, 'total': 781747}"
2023-05-06,"{'relevant': 6128, 'total': 623637}"
2023-05-07,"{'relevant': 6584, 'total': 765673}"
2023-05-08,"{'relevant': 8680, 'total': 949030}"
2023-05-09,"{'relevant': 9640, 'total': 1009010}"
2023-05-10,"{'relevant': 9789, 'total': 1020059}"
2023-05-11,"{'relevant': 9402, 'total': 975323}"
2023-05-12,"{'relevant': 6735, 'total': 765887}"
2023-05-13,"{'relevant': 4184, 'total': 537449}"
2023-05-14,"{'relevant': 6547, 'total': 723973}"
2023-05-15,"{'relevant': 9289, 'total': 985439}"
2023-05-16,"{'relevant': 9474, 'total': 1024709}"
2023-05-17,"{'relevant': 9574, 'total': 1008020}"
2023-05-18,"{'relevant': 9738, 'total': 967781}"
2023-05-19,"{'relevant': 7040, 'total': 789828}"
2023-05-20,"{'relevant': 4335, 'total': 619480}"
2023-05-21,"{'relevant': 5644, 'total': 784528}"
2023-05-22,"{'relevant': 7508, 'total': 981358}"
2023-05-23,"{'relevant': 8355, 'total': 1017684}"
2023-05-24,"{'relevant': 9097, 'total': 1021638}"
2023-05-25,"{'relevant': 8989, 'total': 982973}"
2023-05-26,"{'relevant': 6487, 'total': 791797}"
2023-05-27,"{'relevant': 4365, 'total': 626595}"
2023-05-28,"{'relevant': 5829, 'total': 733393}"
2023-05-29,"{'relevant': 7781, 'total': 914278}"
2023-05-30,"{'relevant': 8935, 'total': 1004102}"
2023-05-31,"{'relevant': 9413, 'total': 1031829}"
2023-06-01,"{'relevant': 8390, 'total': 991165}"
2023-06-02,"{'relevant': 5716, 'total': 787361}"
2023-06-03,"{'relevant': 4068, 'total': 618642}"
2023-06-04,"{'relevant': 6426, 'total': 780823}"
2023-06-05,"{'relevant': 8424, 'total': 975418}"
2023-06-06,"{'relevant': 8591, 'total': 1008940}"
2023-06-07,"{'relevant': 8120, 'total': 997103}"
2023-06-08,"{'relevant': 7413, 'total': 954922}"
2023-06-09,"{'relevant': 5806, 'total': 778981}"
2023-06-10,"{'relevant': 4220, 'total': 610667}"
2023-06-11,"{'relevant': 6332, 'total': 770837}"
2023-06-12,"{'relevant': 8881, 'total': 976764}"
2023-06-13,"{'relevant': 9155, 'total': 1020744}"
2023-06-14,"{'relevant': 8688, 'total': 1025640}"
2023-06-15,"{'relevant': 8279, 'total': 991725}"
2023-06-16,"{'relevant': 6388, 'total': 793122}"
2023-06-17,"{'relevant': 4309, 'total': 611574}"
2023-06-18,"{'relevant': 5242, 'total': 752791}"
2023-06-19,"{'relevant': 7558, 'total': 956807}"
2023-06-20,"{'relevant': 8559, 'total': 1013586}"
2023-06-21,"{'relevant': 8777, 'total': 1012513}"
2023-06-22,"{'relevant': 8784, 'total': 963561}"
2023-06-23,"{'relevant': 6535, 'total': 773818}"
2023-06-24,"{'relevant': 4316, 'total': 605229}"
2023-06-25,"{'relevant': 5959, 'total': 760974}"
2023-06-26,"{'relevant': 9162, 'total': 955065}"
2023-06-27,"{'relevant': 9978, 'total': 975476}"
2023-06-28,"{'relevant': 9208, 'total': 963404}"
2023-06-29,"{'relevant': 8165, 'total': 933368}"
2023-06-30,"{'relevant': 6036, 'total': 760623}"
2023-07-01,"{'relevant': 4439, 'total': 587988}"
2023-07-02,"{'relevant': 5291, 'total': 730554}"
2023-07-03,"{'relevant': 6203, 'total': 901761}"
2023-07-04,"{'relevant': 7354, 'total': 956989}"
2023-07-05,"{'relevant': 8411, 'total': 994495}"
2023-07-06,"{'relevant': 7904, 'total': 956692}"
2023-07-07,"{'relevant': 5919, 'total': 768745}"
2023-07-08,"{'relevant': 4262, 'total': 596557}"
2023-07-09,"{'relevant': 5946, 'total': 745613}"
2023-07-10,"{'relevant': 8279, 'total': 947219}"
2023-07-11,"{'relevant': 10175, 'total': 988148}"
2023-07-12,"{'relevant': 10414, 'total': 984275}"
2023-07-13,"{'relevant': 8857, 'total': 938691}"
2023-07-14,"{'relevant': 6481, 'total': 750229}"
2023-07-15,"{'relevant': 4630, 'total': 589329}"
2023-07-16,"{'relevant': 6061, 'total': 740916}"
2023-07-17,"{'relevant': 8488, 'total': 941767}"
2023-07-18,"{'relevant': 9459, 'total': 976668}"
2023-07-19,"{'relevant': 8826, 'total': 963844}"
2023-07-20,"{'relevant': 7518, 'total': 931242}"
2023-07-21,"{'relevant': 5725, 'total': 754447}"
2023-07-22,"{'relevant': 4331, 'total': 592577}"
2023-07-23,"{'relevant': 5893, 'total': 745736}"
2023-07-24,"{'relevant': 7879, 'total': 934523}"
2023-07-25,"{'relevant': 9191, 'total': 972851}"
2023-07-26,"{'relevant': 9764, 'total': 979417}"
2023-07-27,"{'relevant': 8693, 'total': 947650}"
2023-07-28,"{'relevant': 6005, 'total': 759222}"
2023-07-29,"{'relevant': 4010, 'total': 583448}"
2023-07-30,"{'relevant': 6086, 'total': 739851}"
2023-07-31,"{'relevant': 8034, 'total': 933570}"
2023-08-01,"{'relevant': 8497, 'total': 955130}"
2023-08-02,"{'relevant': 8674, 'total': 955152}"
2023-08-03,"{'relevant': 7878, 'total': 926436}"
2023-08-04,"{'relevant': 5760, 'total': 749100}"
2023-08-05,"{'relevant': 3952, 'total': 588072}"
2023-08-06,"{'relevant': 5520, 'total': 727940}"
2023-08-07,"{'relevant': 7687, 'total': 909730}"
2023-08-08,"{'relevant': 8713, 'total': 947833}"
2023-08-09,"{'relevant': 8557, 'total': 954524}"
2023-08-10,"{'relevant': 7569, 'total': 915747}"
2023-08-11,"{'relevant': 5934, 'total': 741747}"
2023-08-12,"{'relevant': 4126, 'total': 590019}"
2023-08-13,"{'relevant': 6281, 'total': 727965}"
2023-08-14,"{'relevant': 8899, 'total': 910885}"
2023-08-15,"{'relevant': 8468, 'total': 939482}"
2023-08-16,"{'relevant': 8373, 'total': 943751}"
2023-08-17,"{'relevant': 9381, 'total': 925059}"
2023-08-18,"{'relevant': 7386, 'total': 763657}"
2023-08-19,"{'relevant': 4651, 'total': 614461}"
2023-08-20,"{'relevant': 6191, 'total': 738750}"
2023-08-21,"{'relevant': 8255, 'total': 839089}"
2023-08-22,"{'relevant': 7730, 'total': 771474}"
2023-08-23,"{'relevant': 7719, 'total': 873422}"
2023-08-24,"{'relevant': 7986, 'total': 959356}"
2023-08-25,"{'relevant': 6326, 'total': 765240}"
2023-08-26,"{'relevant': 5178, 'total': 604675}"
2023-08-27,"{'relevant': 6809, 'total': 744529}"
2023-08-28,"{'relevant': 8656, 'total': 930503}"
2023-08-29,"{'relevant': 9004, 'total': 972132}"
2023-08-30,"{'relevant': 8754, 'total': 988290}"
2023-08-31,"{'relevant': 7892, 'total': 974813}"
2023-09-01,"{'relevant': 6247, 'total': 790026}"
2023-09-02,"{'relevant': 4482, 'total': 624721}"
2023-09-03,"{'relevant': 5016, 'total': 746929}"
2023-09-04,"{'relevant': 7671, 'total': 928589}"
2023-09-05,"{'relevant': 9139, 'total': 1003998}"
2023-09-06,"{'relevant': 9067, 'total': 998946}"
2023-09-07,"{'relevant': 8704, 'total': 951889}"
2023-09-08,"{'relevant': 6285, 'total': 784868}"
2023-09-09,"{'relevant': 4557, 'total': 634247}"
2023-09-10,"{'relevant': 6209, 'total': 787789}"
2023-09-11,"{'relevant': 8181, 'total': 975902}"
2023-09-12,"{'relevant': 9549, 'total': 1014101}"
2023-09-13,"{'relevant': 9354, 'total': 1016976}"
2023-09-14,"{'relevant': 8120, 'total': 981633}"
2023-09-15,"{'relevant': 6111, 'total': 790601}"
2023-09-16,"{'relevant': 4385, 'total': 620851}"
2023-09-17,"{'relevant': 6153, 'total': 775092}"
2023-09-18,"{'relevant': 8060, 'total': 969971}"
2023-09-19,"{'relevant': 8461, 'total': 1022108}"
2023-09-20,"{'relevant': 8415, 'total': 1030536}"
2023-09-21,"{'relevant': 8393, 'total': 984292}"
2023-09-22,"{'relevant': 6870, 'total': 789239}"
2023-09-23,"{'relevant': 4706, 'total': 595180}"
2023-09-24,"{'relevant': 6247, 'total': 750623}"
2023-09-25,"{'relevant': 8345, 'total': 965171}"
2023-09-26,"{'relevant': 8396, 'total': 998992}"
2023-09-27,"{'relevant': 8620, 'total': 993409}"
2023-09-28,"{'relevant': 8994, 'total': 935575}"
2023-09-29,"{'relevant': 7296, 'total': 763163}"
2023-09-30,"{'relevant': 4977, 'total': 607261}"
2023-10-01,"{'relevant': 5470, 'total': 740812}"
2023-10-02,"{'relevant': 6616, 'total': 855148}"
2023-10-03,"{'relevant': 6902, 'total': 820933}"
2023-10-04,"{'relevant': 7091, 'total': 865083}"
2023-10-05,"{'relevant': 6759, 'total': 828005}"
2023-10-06,"{'relevant': 5649, 'total': 629067}"
2023-10-07,"{'relevant': 4815, 'total': 560937}"
2023-10-08,"{'relevant': 5585, 'total': 750579}"
2023-10-09,"{'relevant': 7136, 'total': 931669}"
2023-10-10,"{'relevant': 8228, 'total': 993931}"
2023-10-11,"{'relevant': 8573, 'total': 990297}"
2023-10-12,"{'relevant': 9385, 'total': 955287}"
2023-10-13,"{'relevant': 7489, 'total': 778357}"
2023-10-14,"{'relevant': 3862, 'total': 539609}"
2023-10-15,"{'relevant': 4846, 'total': 608218}"
2023-10-16,"{'relevant': 6380, 'total': 733242}"
2023-10-17,"{'relevant': 6710, 'total': 809213}"
2023-10-18,"{'relevant': 7121, 'total': 779582}"
2023-10-19,"{'relevant': 7569, 'total': 774245}"
2023-10-20,"{'relevant': 6357, 'total': 749991}"
2023-10-21,"{'relevant': 4584, 'total': 596408}"
2023-10-22,"{'relevant': 6860, 'total': 710891}"
2023-10-23,"{'relevant': 8621, 'total': 832179}"
2023-10-24,"{'relevant': 8148, 'total': 796989}"
2023-10-25,"{'relevant': 7739, 'total': 755623}"
2023-10-26,"{'relevant': 7421, 'total': 850720}"
2023-10-27,"{'relevant': 5687, 'total': 715399}"
2023-10-28,"{'relevant': 3918, 'total': 519754}"
2023-10-29,"{'relevant': 4494, 'total': 604845}"
2023-10-30,"{'relevant': 6632, 'total': 780303}"
2023-10-31,"{'relevant': 7797, 'total': 860987}"
2023-11-01,"{'relevant': 6626, 'total': 719695}"
2023-11-02,"{'relevant': 6304, 'total': 666380}"
2023-11-03,"{'relevant': 4972, 'total': 570414}"
2023-11-04,"{'relevant': 3358, 'total': 456218}"
2023-11-05,"{'relevant': 5556, 'total': 532787}"
2023-11-06,"{'relevant': 8013, 'total': 643531}"
2023-11-07,"{'relevant': 7773, 'total': 744549}"
2023-11-08,"{'relevant': 7943, 'total': 872512}"
2023-11-09,"{'relevant': 9807, 'total': 973650}"
2023-11-10,"{'relevant': 9098, 'total': 868809}"
2023-11-11,"{'relevant': 6998, 'total': 716584}"
2023-11-12,"{'relevant': 8266, 'total': 849776}"
2023-11-13,"{'relevant': 10508, 'total': 1037735}"
2023-11-14,"{'relevant': 11065, 'total': 1064056}"
2023-11-15,"{'relevant': 11536, 'total': 1060306}"
2023-11-16,"{'relevant': 11114, 'total': 1046156}"
2023-11-17,"{'relevant': 8344, 'total': 892433}"
2023-11-18,"{'relevant': 7180, 'total': 721149}"
2023-11-19,"{'relevant': 8114, 'total': 836355}"
2023-11-20,"{'relevant': 8762, 'total': 982792}"
2023-11-21,"{'relevant': 9797, 'total': 1063493}"
2023-11-22,"{'relevant': 9408, 'total': 1080842}"
